source,temperature,filename,lexical_diversity,semantic_diversity,novelty,surprise
gpt-4.1,0.001,gpt4_10_clean.txt,0.88,0.8215852392670611,0.060635507106781,1.4730461835861206
gpt-4.1,0.001,gpt4_11_clean.txt,0.8304093567251462,0.7592295781696454,0.0421350300312042,1.3189637660980225
gpt-4.1,0.001,gpt4_12_clean.txt,0.8509316770186336,0.7400901964153156,0.0108652114868164,1.4156711101531982
gpt-4.1,0.001,gpt4_13_clean.txt,0.8490566037735849,0.7547960852501437,0.0416058003902435,1.381508708000183
gpt-4.1,0.001,gpt4_14_clean.txt,0.8300653594771242,0.8033869338753269,0.0122901201248168,1.4319519996643066
gpt-4.1,0.001,gpt4_15_clean.txt,0.8701298701298701,0.8045094347732664,0.0264587104320526,1.4293934106826782
gpt-4.1,0.001,gpt4_16_clean.txt,0.8943661971830986,0.7328413953384268,0.0326371192932128,1.4378255605697632
gpt-4.1,0.001,gpt4_17_clean.txt,0.8723404255319149,0.7876606553698478,0.0385006368160247,1.4838413000106812
gpt-4.1,0.001,gpt4_18_clean.txt,0.875,0.7352728243773843,0.0004114806652069,1.4716300964355469
gpt-4.1,0.001,gpt4_19_clean.txt,0.8536585365853658,0.7336356987804414,0.0621322244405746,1.5007259845733643
gpt-4.1,0.001,gpt4_1_clean.txt,0.9383561643835616,0.8343584449328214,0.0510891377925872,1.523010015487671
gpt-4.1,0.001,gpt4_20_clean.txt,0.8827160493827161,0.7777800278964945,0.0211892426013946,1.4165184497833252
gpt-4.1,0.001,gpt4_21_clean.txt,0.9078014184397164,0.7487339221080477,0.0453408956527709,1.3876599073410034
gpt-4.1,0.001,gpt4_2_clean.txt,0.8248587570621468,0.743795756389472,0.0196840465068817,1.4052155017852783
gpt-4.1,0.001,gpt4_3_clean.txt,0.891156462585034,0.7461454040377921,0.0504814237356185,1.3528565168380737
gpt-4.1,0.001,gpt4_4_clean.txt,0.8827160493827161,0.8314677597116784,0.0024521946907043,1.463058352470398
gpt-4.1,0.001,gpt4_5_clean.txt,0.9051094890510948,0.8253176374105345,0.0372330546379089,1.4009716510772705
gpt-4.1,0.001,gpt4_6_clean.txt,0.8701298701298701,0.8202951059963329,0.0290862619876861,1.4447730779647827
gpt-4.1,0.001,gpt4_7_clean.txt,0.8741721854304636,0.7981456609687988,0.0407046973705291,1.4103095531463623
gpt-4.1,0.001,gpt4_8_clean.txt,0.8763440860215054,0.8172285050519561,0.1006914973258972,1.507301688194275
gpt-4.1,0.001,gpt4_9_clean.txt,0.8628571428571429,0.814338265824663,0.0621637403964996,1.4801746606826782
gpt-4.1,0.334,gpt4_10_clean.txt,0.8418079096045198,0.8272239391592779,0.0474913716316223,1.4215856790542603
gpt-4.1,0.334,gpt4_11_clean.txt,0.8633093525179856,0.8183019303259574,0.0220871567726135,1.444798231124878
gpt-4.1,0.334,gpt4_12_clean.txt,0.8523489932885906,0.8388943401317223,0.0225518643856048,1.4426413774490356
gpt-4.1,0.334,gpt4_13_clean.txt,0.872093023255814,0.8168921744449955,0.0389275252819061,1.4546494483947754
gpt-4.1,0.334,gpt4_14_clean.txt,0.8703703703703703,0.8275389073676419,0.0186395645141601,1.4227476119995117
gpt-4.1,0.334,gpt4_15_clean.txt,0.8662790697674418,0.8273415206305755,0.0137654840946197,1.4620311260223389
gpt-4.1,0.334,gpt4_16_clean.txt,0.8647058823529412,0.8030993205134938,0.0125605762004852,1.4242452383041382
gpt-4.1,0.334,gpt4_17_clean.txt,0.8580246913580247,0.7922650527534589,0.0107493698596954,1.475165605545044
gpt-4.1,0.334,gpt4_18_clean.txt,0.8980891719745223,0.8225629902434378,0.0144615173339843,1.5003280639648438
gpt-4.1,0.334,gpt4_19_clean.txt,0.8714285714285714,0.8188713781054782,0.0138481557369232,1.4693554639816284
gpt-4.1,0.334,gpt4_1_clean.txt,0.8242424242424242,0.8259786932653979,0.0141471624374389,1.4563709497451782
gpt-4.1,0.334,gpt4_20_clean.txt,0.8698630136986302,0.8062293276883766,0.0292718410491943,1.391096591949463
